Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,latitude,longitude,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
BD,East Side Travel Plaza,607 Gateway Dr,East Grand Forks,MN,56721,,47.9379322,-97.0107874,218-773-4345,E,,Public,5am-10pm daily,A Checks Cash D M V,"B20 in summer, B5",,,,,,,,,200-8,47.9375198,-97.0145484,3/6/2014,42479,2014-03-06 18:13:40 UTC,P,,,12/31/2008,,,,,
BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Carrboro,NC,27510,,35.9006394,-79.0748738,919-321-8260,E,,Public - Card key after hours,8:30am-4:30pm M-F; contact station to arrange for card key,Cash M V,B100,,,,,,,,,GPS,35.939414,-79.056994,7/2/2014,27886,2014-07-02 20:28:58 UTC,P,,,9/15/2005,,,,,
BD,Propel Fuels - 76,1850 E Holt Blvd,Ontario,CA,91761,,34.063137,-117.611481,909-467-1809,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,34.0631733,-117.6113105,9/5/2014,47982,2014-09-05 20:24:50 UTC,P,,,1/15/2013,,,,,
BD,Daily's #7111,5272 Cane Ridge Rd,Nashville,TN,37013,,36.0454597,-86.6613312,615-731-4063,E,,Public,24 hours daily,A Cash D M V Voyager,B20,,,,,,,,,200-8,36.045435,-86.6613932,8/5/2014,32501,2014-08-05 17:48:16 UTC,P,,,10/1/2006,,,,,
BD,Carl's Junior 76 Station,2140 N Nimitz Hwy,Honolulu,HI,96819,,21.328142,-157.885864,808-848-0480,E,,Public,"5:30am-10pm M-W, 6am-11pm Th-Sat, 6am-10pm Sun",A Cash D M V,B99,,,,,,,,,200-8,21.3282018,-157.8858304,5/2/2014,30606,2014-05-02 14:22:41 UTC,P,,,10/15/2006,,,,,
BD,Yocum Holiday #3871,2030 Eagle Creek Ln,Woodbury,MN,55129,,44.919239,-92.901787,651-998-1123,E,,Public - Credit card after hours,"5am-11:30pm M-F, 6am-11:30pm Sat-Sun",A Cash D M V Voyager Wright_Exp,"B20 in summer, B5 in winter",,,,,,,,,200-8,44.919239,-92.901783,3/6/2014,49538,2014-03-06 18:10:39 UTC,P,,,5/15/2012,,,,,
BD,Saxapahaw General Store,1735 Saxapahaw-Bethlehem Church Rd,Saxapahaw,NC,27340,,35.946529,-79.318336,336-376-5332,E,,Public - Card key at all times,24 hours daily; must have piedmont biofuels card to fuel - visit http://www.biofuels.coop/ to arrange for card key,,B100,,,,,,,,,200-8,35.946531,-79.318335,7/2/2014,37616,2014-07-02 20:27:11 UTC,P,,,1/29/2011,,,,,
BD,Pacific Pride,19020 63rd Ave NE,Arlington,WA,98223,,48.1686444,-122.1460129,800-950-3835,E,,Public - Card key at all times,24 hours daily; also accept Pacific Pride and Comdata cards,Voyager Wright_Exp,B20,,,,,,,,,200-8,48.1686092,-122.1459816,3/6/2014,35526,2014-03-06 18:13:53 UTC,P,,,3/1/2010,,,,,
BD,Pacific Biodiesel Inc - Burt's Service,1342 N School St,Honolulu,HI,96817,,21.3315325,-157.8658137,808-841-6711,E,,Public,"6am-10:30pm M-Sat, 7am-10pm Sun",A Cash D M V Wright_Exp,"B20, any blend up to B20 available",,,,,,,,,200-8,21.3318109,-157.866066,5/2/2014,38045,2014-05-02 14:27:02 UTC,P,,,9/30/2009,,,,,
BD,Propel Fuels - Shell,3204 Richards Rd,Bellevue,WA,98005,,47.5814988,-122.1681987,425-746-8945,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,47.581392,-122.1676714,6/3/2014,33169,2014-06-03 03:42:37 UTC,P,,,1/15/2008,,,,,
BD,Central Washington Biodiesel,1000 N Prospect St,Ellensburg,WA,98926,,47.0006336,-120.564801,509-899-3370,E,,Public - Call ahead,Contact station for arrangements,Checks Cash M V,"B99 in summer, B50 in winter",,,,,,,,,200-8,47.0015486,-120.5654347,5/2/2014,48484,2014-05-02 14:03:42 UTC,P,,,1/15/2006,,,,,
BD,Citgo Easy Stop Food - Mid-State Energy,4235 Clark Rd,Sarasota,FL,34233,,27.2696533,-82.4836807,941-922-5696,E,,Public,"6am-9pm M-F, 7am-9pm Sat, 8am-8pm Sun",A Checks Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,27.2693278,-82.4835626,8/5/2014,51031,2014-08-05 17:55:23 UTC,P,,,2/28/2013,,,,,
BD,American Homegrown Fuel Corp - First Coast Biofuels,1170 W US Highway 90,Lake City,FL,32055,,30.18535,-82.652603,386-754-2616,E,,Public,6am-4pm M-F,Checks Cash D M V,B20,,,,,,,,,200-8,30.18535,-82.652605,8/5/2014,29976,2014-08-05 17:46:51 UTC,P,,,8/15/2006,,,,,
BD,Propel Fuels - Shell,9190 E Stockton Blvd,Elk Grove,CA,95624,,38.424084,-121.390793,916-686-6560,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,38.4240691,-121.3907558,9/5/2014,50633,2014-09-05 20:25:41 UTC,P,,,1/12/2008,,,,,
BD,CFN - Central Petroleum,755 NE 1st St,Bend,OR,97701,,44.057697,-121.30629,541-382-4751,E,,Public - Card key at all times,24 hours daily,CFN,B20,,,,,,,,,200-8,44.0574464,-121.3063099,3/6/2014,32889,2014-03-06 18:13:59 UTC,P,,,2/15/2008,,,,,
BD,Pacific Pride,3037 NW 29th Ave,Portland,OR,97210,,45.5439346,-122.7110242,800-950-3835,E,,Public - Card key at all times,24 hours daily; also accept Pacific Pride and Comdata cards,Voyager Wright_Exp,"B20, B5",,,,,,,,,200-8,45.5446886,-122.7110986,3/6/2014,24287,2014-03-06 18:13:53 UTC,P,,,3/1/2010,,,,,
BD,Star Oilco - SeQuential Biofuels,232 Middlefield Rd,Portland,OR,97211,,45.5954628,-122.6634827,503-283-1256,E,,Public,8:30am-4:30pm M-F,Checks Cash,B99,,,,,,,,,200-8,45.5955781,-122.6632889,3/6/2014,28761,2014-03-06 18:13:44 UTC,P,,,6/15/2004,,,,,
BD,Glover Oil,3109 S Main St,Melbourne,FL,32901,,28.063101,-80.598686,321-723-3953,E,,Public,7am-5pm M-F,Cash M V,B100 and below; all blends available,,,,,,,,,200-8,28.0627351,-80.5987347,8/5/2014,34180,2014-08-05 17:48:09 UTC,P,,,6/15/2005,,,,,
BD,Eblen Short Stop #8,1438 Tunnel Rd,Asheville,NC,28805,,35.584503,-82.463058,828-298-9269,E,,Public,6am-1am daily,A Cash D M V,B20,,,,,,,,,200-8,35.584438,-82.463025,7/3/2014,31817,2014-07-03 13:21:54 UTC,P,,,5/15/2007,,,,,
BD,Triangle Biofuels Industries,1724 Baldree Rd S,Wilson,NC,27893,,35.7039826,-77.916417,252-360-4274,E,,Public,8am-5pm M-F or by appointment,A Checks Cash D M V,"B99, B20",,,,,,,,,200-8,35.702584,-77.91733,6/30/2013,35048,2014-06-27 19:49:29 UTC,P,,,9/1/2009,,,,,
BD,McCormix,22 N Calle Cesar Chavez,Santa Barbara,CA,93103,,34.419243,-119.682678,805-963-9366,E,,Public,6:30am-5pm M-F,Cash D M V,B99,,,,,,,,,200-8,34.4192423,-119.6828673,9/5/2014,50234,2014-09-05 20:33:01 UTC,P,,,6/15/2012,,,,,
BD,Propel Fuels - Chevron,39707 Paseo Padre Pkwy,Fremont,CA,94538,,37.548138,-121.971497,510-651-6334,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,37.548138,-121.971555,9/5/2014,50634,2014-09-05 20:25:07 UTC,P,,,8/2/2010,,,,,
BD,Yocum Holiday #3833,255 Triangle Ln N,Jordan,MN,55352,,44.670486,-93.638168,952-492-7737,E,,Public - Credit card after hours,"5am-12am Sun-Th, 5am-1am F-Sat",A Cash D M V Voyager Wright_Exp,"B20 in summer, B5 in winter",,,,,,,,,200-8,44.6706361,-93.6379503,3/6/2014,49536,2014-03-06 18:10:37 UTC,P,,,5/15/2012,,,,,
BD,Propel Fuels - 76,14152 E Imperial Hwy,La Mirada,CA,90638,,33.91674,-118.029709,562-921-6989,E,,Public,24 hours daily; Also accept Propel CleanDrive fleet card,A Cash D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,33.9167866,-118.0297852,9/5/2014,47981,2014-09-05 20:24:53 UTC,P,,,3/1/2013,,,,,
BD,Propel Fuels - Shell,8062 Florin Rd,Sacramento,CA,95828,,38.495651,-121.409401,916-393-2585,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,38.4957188,-121.4093845,9/5/2014,41632,2014-09-05 20:25:36 UTC,P,,,11/30/2009,,,,,
BD,Piedmont Biofuels - Edible Earthscapes,37 Thomas Ln,Moncure,NC,27559,,35.6556652,-79.1272628,919-321-8260,E,,Public - Card key at all times,24 hours daily; contact station to arrange for card key,,B100,,,,,,,,,200-8,35.6555174,-79.1271929,7/2/2014,27884,2014-07-02 20:27:52 UTC,P,,,9/15/2005,,,,,
BD,Yokayo Biofuels,44440 Highway 101,Laytonville,CA,95454,,39.6818762,-123.4768002,877-806-0900,E,,Public,10am-5pm W,A Cash D M V,"B99 in summer, B95 in winter",,,,,,,,,GPS,39.683803,-123.478364,11/30/2013,37513,2014-09-02 21:51:28 UTC,P,,,2/15/2003,,,,,
BD,Feece Oil Co,1700 Hubbard Dr,Batavia,IL,60510,,41.8590431,-88.2716904,630-879-1911,E,,Public,"6am-6pm M-F, 6am-12pm Sat",A Checks Cash D M V,B100,,,,,,,,,200-8,41.858982,-88.271692,10/31/2013,25535,2014-10-06 19:16:59 UTC,P,,,10/15/2003,,,,,
BD,Daily's #8863,4040 Hillsboro Pike,Nashville,TN,37215,,36.102943,-86.815941,615-298-5745,E,,Public,24 hours daily; Also accept Fleet One,A Cash D M V,B20,,,,,,,,,200-8,36.102947,-86.815943,8/5/2014,33419,2014-08-05 17:56:51 UTC,P,,,6/1/2008,,,,,
BD,Island Supply - Mead Biofuel,21 W Beach Rd,Eastsound,WA,98245,,48.677753,-122.939941,360-376-4200,E,,Public,"7:30am-5:30pm M-F, 8:30am-5:30pm Sat",Cash D M V,B99,,,,,,,,,200-8,48.677753,-122.939944,6/3/2014,25140,2014-06-03 03:42:32 UTC,P,,,1/15/2002,,,,,
BD,Spinx #243,1605 John B White Blvd,Spartanburg,SC,29301,,34.9233746,-81.9769523,864-576-0336,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,34.922952,-81.976522,10/6/2014,34312,2014-10-06 15:20:39 UTC,P,,,4/15/2009,,,,,
BD,Applebee Oil & Propane,108 Mill St,Ovid,MI,48866,,43.0050796,-84.3760414,989-834-2828,E,,Public,"8am-5pm M-F, 8am-12pm Sat",A Cash D M V,B20,,,,,,,,,200-8,43.0059745,-84.3760119,7/3/2014,47977,2014-07-03 13:21:21 UTC,P,,,1/15/2010,,,,,
BD,Royal Petroleum - Todd Road,365 Todd Rd,Santa Rosa,CA,95407,,38.387802,-122.72541,707-540-0054,E,,Public - Card key after hours,7am-5pm M-F; 24 hour access with CFN card,A CFN Checks Cash M V,B99,,,,,,,,,200-8,38.3875971,-122.7255322,9/5/2014,32675,2014-09-05 20:33:17 UTC,P,,,10/15/2007,,,,,
BD,Dr Dan's Alternative Fuels Werks,912 NW 50th St,Seattle,WA,98107,,47.665249,-122.369316,206-783-5728,E,,Public - Credit card after hours,10am-6pm M-F,A Checks Cash D M V,B99,,,,,,,,,200-8,47.665262,-122.3693058,6/3/2014,21113,2014-06-03 03:42:30 UTC,P,,,5/15/2001,,,,,
BD,Propel Fuels - Shell,7901 Madison Ave,Citrus Heights,CA,95610,,38.664295,-121.271622,800-871-0773,E,,Public,24 hours daily; Also accept Propel CleanDrive fleet card,A Cash D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,38.664295,-121.271623,9/5/2014,41143,2014-09-05 20:25:29 UTC,P,,,12/1/2010,,,,,
BD,Pacific Pride - Ira Phillips Inc,2601 Forrest Ave,Gadsden,AL,35904,,34.019089,-86.044022,256-547-0591,E,,Public - Card key at all times,"24 hours daily; Also accept Pacific Pride, Fleet One, TCH, T-Chek and Comdata cards",Voyager Wright_Exp,B20,,,,,,,,,200-8,34.019085,-86.04403,9/5/2014,63073,2014-09-05 20:24:07 UTC,P,,,7/20/2012,,,,,
BD,Kent's Korner #11 - Exxon,1012 Columbia Rd,Edgefield,SC,29824,,33.7972794,-81.8882523,803-637-3435,E,,Public,"6am-10pm M-F, 6am-12am Sat, 7am-10pm Sun",A Checks Cash D M V Voyager Wright_Exp,B20,,,,,,,,,GPS,33.796925,-81.889661,6/3/2014,40622,2014-06-03 03:50:48 UTC,P,,,4/30/2010,,,,,
BD,Twice Daily #6135,911 S Hartman Dr,Lebanon,TN,37087,,36.1866776,-86.3258974,615-453-5409,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,36.2358635,-86.3122169,8/5/2014,32704,2014-08-05 17:57:30 UTC,P,,,3/1/2007,,,,,
BD,Snohomish Co-op,168 Lincoln Ave,Snohomish,WA,98290,,47.9117619,-122.08753,360-568-2104,E,,Public - Credit card after hours,"7am-6:30pm M-F, 8am-6pm Sat, 10am-5pm Sun",A Cash D M V,"B99 in summer, B20 in winter",,,,,,,,,200-8,47.9120559,-122.0877887,6/3/2014,31225,2014-06-03 03:42:42 UTC,P,,,1/15/2007,,,,,
BD,Mirabito Travel Center,1166 Castle Creek Rd,Castle Creek,NY,13744,,42.23151,-75.916809,607-648-4425,E,,Public,24 hours daily,A CFN Checks Cash D FuelMan GasCard M PHH V Voyager Wright_Exp,B20,,,,,,,,,200-8,42.2316069,-75.916744,4/4/2014,48893,2014-04-04 19:20:43 UTC,P,,,6/15/2010,,,,,
BD,Maritime Farms,20 Commercial St,Rockport,ME,4856,,44.199024,-69.078323,207-236-4597,E,,Public,"5am-9pm M-F, 6am-9pm Sat, 6am-8pm Sun",A Cash D M V Voyager,B20,,,,,,,,,200-8,44.199026,-69.078323,4/4/2014,33202,2014-04-04 18:52:33 UTC,P,,,7/15/2008,,,,,
BD,BioFuel Oasis,1441 Ashby Ave,Berkeley,CA,94702,,37.853474,-122.279388,510-665-5509,E,,Public,11am-7pm M-Sat; extended hours when using the Fueling Freedom card; visit biofueloasis.com for details,Checks Cash M V,B99,,,,,,,,,200-8,37.8534653,-122.2793904,9/5/2014,27289,2014-09-05 20:32:42 UTC,P,,,7/15/2005,,,,,
BD,Sapp Bros,3130 May Rd,Peru,IL,61354,,41.366968,-89.1529571,815-224-1065,E,,Public,24 hours daily; also accept Comdata cards,A Cash D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,41.3667036,-89.1521528,10/31/2013,47975,2014-10-06 19:25:50 UTC,P,,,4/15/2005,,,,,
BD,Carolina Biodiesel,1410 Cross St,Durham,NC,27701,,35.9838241,-78.8865533,919-957-1500,E,,Public - Call ahead,Contact station to arrange for access between 9am-7pm M-Sat,Checks Cash,"B99 in summer, B80 in winter",,,,,,,,,200-8,35.9839257,-78.8861158,7/3/2014,32707,2014-07-03 13:21:50 UTC,P,,,10/15/2005,,,,,
BD,EF Kludt & Sons Inc,1126 E Pine St,Lodi,CA,95240,,38.133595,-121.253166,209-368-0634,E,,Public - Credit card at all times,24 hours daily,A CFN D M V Voyager,B20,,,,,,,,,200-8,38.133596,-121.253209,10/6/2014,63281,2014-10-06 15:22:29 UTC,P,,,7/1/2014,,,,,
BD,Baltimore Biodiesel Co-op,2800 Sisson St,Baltimore,MD,21211,,39.319572,-76.626038,443-838-1826,E,,Public - Credit card at all times,"24 hours daily; requires co-op membership, but one-day passes are available; see www.baltimorebiodiesel.org to join",M V,"B99, B50 in winter",,,,,,,,,200-8,39.3195391,-76.6259904,10/31/2013,33532,2014-10-13 14:44:08 UTC,P,,,12/15/2008,,,,,
BD,Saint Avenue BP,302 E School Ave,Mount Pleasant,IA,52641,,41.1345406,-91.5396729,319-694-2200,E,,Public,5am-10pm daily,A Checks Cash D M V Voyager Wright_Exp,B20,,,,,,,,,GPS,41.134114,-91.541158,8/5/2014,61125,2014-08-05 17:53:01 UTC,P,,,8/1/2013,,,,,
BD,Piedmont Biofuels - Tidal Creek Co-op,5331 Oleander,Wilmington,NC,28403,,34.2080918,-77.8623236,919-321-8260,E,,Public - Card key at all times,24 hours daily; contact station to arrange for card key,,B100,,,,,,,,,200-8,34.2081323,-77.861368,7/3/2014,47267,2014-07-03 13:19:30 UTC,P,,,5/15/2012,,,,,
BD,Vriesland Country Store,6420 Byron Rd,Zeeland,MI,49464,,42.8118271,-85.9407771,616-772-4445,E,,Public,"5:30am-11pm M-F, 6am-11pm Sat, 8am-10pm Sun",A Cash D M V Voyager Wright_Exp,"B20, B15, B10, B5",,,,,,,,,200-8,42.8115802,-85.9409169,5/2/2014,38050,2014-05-02 14:27:12 UTC,P,,,2/28/2009,,,,,
BD,Bio-Blend Fuels Inc,2817 Basswood Dr,Manitowoc,WI,54220,,44.1317825,-87.712532,920-686-1997,E,,Public - Credit card at all times,24 hours daily,M V,"B99 in summer, B50, B20",,,,,,,,,200-8,44.131782,-87.712531,5/31/2013,41979,2014-10-15 19:28:26 UTC,P,,,12/1/2008,,,,,
BD,Silvas Oil Co Inc - Pearson Fuels,6417 Ventura Blvd,Ventura,CA,93003,,34.247993,-119.199966,805-288-5477,E,,Public - Credit card at all times,24 hours daily,A CFN D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,34.248013,-119.199978,9/5/2014,35647,2014-09-05 20:25:59 UTC,P,,,4/1/2010,,,,,
BD,MAPCO Express #3507,1406 Cleveland Hwy,Dalton,GA,30721,,34.799011,-84.961761,706-259-6237,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,34.799011,-84.9617619,10/6/2014,47972,2014-10-06 15:18:54 UTC,P,,,6/11/2012,,,,,
BD,Bently Biofuels Outpost,1350 Buckeye Rd,Minden,NV,89423,,38.9613739,-119.7377385,775-783-0123,E,,Public - Credit card at all times,24 hours daily,GasCard M V Voyager Wright_Exp,"B99 in summer, B50 in winter, B20, B5",,,,,,,,,200-8,38.9616384,-119.7351985,10/6/2014,29472,2014-10-06 15:18:15 UTC,P,,,6/15/2006,,,,,
BD,Dogwood Shell,1488 Montgomery Hwy,Vestavia Hills,AL,35216,,33.415058,-86.805,205-979-6433,E,,Public,"5:30am-12am M-F, 6am-12am Sat, 6am-10pm Sun",A Cash D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,33.415059,-86.804913,9/5/2014,32714,2014-09-05 20:24:15 UTC,P,,,3/10/2008,,,,,
BD,MAPCO #3378,1501 Murfreesboro Rd,Franklin,TN,37067,,35.9135026,-86.8210821,615-790-8663,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,35.913436,-86.8211368,8/5/2014,48479,2014-08-05 17:48:16 UTC,P,,,1/15/2012,,,,,
BD,OM Biofuels - Fox Music House,3005 W Montague Ave,Charleston,SC,29418,,32.8676109,-80.0125961,843-740-7200,E,,Public - Credit card at all times,24 hours daily,A D M V,B20,,,,,,,,,200-8,32.8675732,-80.0123667,10/6/2014,47269,2014-10-06 15:20:16 UTC,P,,,9/19/2014,,,,,
BD,Spinx #350,6899 Rivers Ave,North Charleston,SC,29406,,32.920207,-80.0299843,843-735-5496,E,,Public,24 hours daily,A Cash D M V Wright_Exp,B20,,,,,,,,,200-8,32.9203439,-80.03019,10/6/2014,62389,2014-10-06 15:21:08 UTC,P,,,3/1/2014,,,,,
BD,Duggan's Petroleum,4435 S Santa Fe Dr,Englewood,CO,80110,,39.6360701,-105.0078774,303-781-0546,E,,Public - Credit card at all times,24 hours daily,A D M V,B20,,,,,,,,,200-8,39.635452,-105.00864,10/31/2013,33723,2014-10-06 17:31:40 UTC,P,,,1/15/2009,,,,,
BD,Taylor's Grocery,10005 Six Forks Rd,Raleigh,NC,27615,,35.915791,-78.650475,919-847-3069,E,,Public,6am-9pm daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,35.91579,-78.65047,7/2/2014,32599,2014-07-02 20:28:59 UTC,P,,,9/15/2007,,,,,
BD,Race In,1067 W Stuart Dr,Hillsville,VA,24343,,36.754571,-80.7457224,276-728-3939,E,,Public,"5:30am-11pm M-F, 6am-12am Sat-Sun",Cash A D M V Voyager Wright_Exp,B20 in summer,,,,,,,,,200-8,36.7550384,-80.7446436,11/30/2013,37114,2014-01-20 19:26:26 UTC,P,,,12/1/2010,,,,,
BD,Marathon Bio-Diesel Inc,2 Coco Plum Dr,Marathon,FL,33050,,24.734297,-81.013092,305-522-7655,E,,Public,24 hours daily; contact station for assistance if no attendant at pump,A Cash D M V,B100,,,,,,,,,200-8,24.734296,-81.013096,8/5/2014,47989,2014-08-05 17:40:59 UTC,P,,,6/3/2011,,,,,
BD,Marathon - Valley Mart #12,1006 Congress Pkwy N,Athens,TN,37303,,35.481258,-84.592339,423-744-0607,E,,Public,6am-10pm daily,A Checks Cash D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,35.4812579,-84.592335,8/5/2014,49539,2014-08-05 17:40:53 UTC,P,,,5/15/2012,,,,,
BD,Clean Energy Biofuels,250 Arizona Ave,Atlanta,GA,30307,,33.760265,-84.331757,678-318-1785,E,,Public - Credit card at all times,5am-11pm M-F,A D FuelMan M V Voyager Wright_Exp,"B100, B20",,,,,,,,,200-8,33.7602681,-84.3316517,10/6/2014,23449,2014-10-06 15:21:50 UTC,P,,,6/21/2012,,,,,
BD,Wacker's General Store,9050 M-52,Manchester,MI,48158,,42.1900622,-84.0323672,734-428-8366,E,,Public,7am-9pm daily,Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,42.1593691,-84.041193,5/2/2014,21447,2014-05-02 14:27:10 UTC,P,,,1/31/2002,,,,,
BD,Propel Fuels - 76,1002 N 1st St,San Jose,CA,95112,,37.35561,-121.904617,408-279-2270,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,37.3552246,-121.9046796,9/5/2014,40580,2014-09-05 20:24:56 UTC,P,,,8/1/2011,,,,,
BD,Spinx #201,549 E Standing Springs Rd,Simpsonville,SC,29680,,34.7453108,-82.2916659,864-228-6506,E,,Public,24 hours daily,A Cash D FuelMan M V Wright_Exp,B20,,,,,,,,,200-8,34.751,-82.29015,10/6/2014,52193,2014-10-06 15:20:19 UTC,P,,,12/15/2005,,,,,
BD,Star Oilco - SeQuential Biofuels,8445 N Kerby Ave,Portland,OR,97217,,45.5841871,-122.6723897,503-283-1256,E,,Public - Card key at all times,24 hours daily; Commercial Fueling Network card required - contact station for arrangements,CFN,"B20, B5",,,,,,,,,200-8,45.5848306,-122.6723508,4/4/2014,35511,2014-04-04 18:55:04 UTC,P,,,4/15/2007,,,,,
BD,The Green Station - Santa Cruz,433 Ocean Ave,Santa Cruz,CA,95060,,36.9741592,-122.0191116,831-425-9100,E,,Public,"9am-6pm M-Sat, 10am-4pm Sun",A Checks Cash D M V,"B99, B95 in winter",,,,,,,,,200-8,36.9741713,-122.0190738,9/5/2014,44759,2014-09-05 20:33:23 UTC,P,,,4/15/2008,,,,,
BD,Issaquah Grange,145 NE Gilman Blvd,Issaquah,WA,98027,,47.535938,-122.034348,425-392-6469,E,,Public,"7am-6pm M-F, 8am-6pm Sat, 9am-5pm Sun",Cash M V Voyager Wright_Exp,B50,,,,,,,,,200-8,47.5359844,-122.034103,6/3/2014,27832,2014-06-03 03:42:33 UTC,P,,,5/15/2006,,,,,
BD,Capitol City Oil Inc,911 SE Adams Rd,Topeka,KS,66607,,39.0452194,-95.6686707,785-233-8008,E,,Public,7am-5pm M-F,A Checks Cash D M V,B100,,,,,,,,,200-8,39.045219,-95.668669,10/6/2014,30607,2014-10-06 15:18:14 UTC,P,,,11/15/2006,,,,,
BD,Dileo Auto Service,2233 W Main St,Jeffersonville,PA,19403,,40.137569,-75.383354,610-539-5308,E,,Public,"6:30am-9pm M-F, 6:30am-8pm Sat",A Cash D M V Voyager Wright_Exp,"B20 in summer, B5 in winter",,,,,,,,,200-8,40.137571,-75.383354,8/5/2014,33417,2014-08-05 17:55:43 UTC,P,,,4/15/2008,,,,,
